"ID","GENERO","RENTA","EDAD","NIV_EDUC","E_CIVIL","COD_OFI","COD_COM","CIUDAD","D_Marzo","D_Abril","D_Mayo","D_Junio","D_Julio","D_Agosto","D_Septiembre","M_MOROSO","MONTO","SEGURO","FUGA"
508,"M",46305,50,"UNV","CAS",30,101,"SANTIAGO",0,33791,90966,0,9,0,528,1,7000000,"NO","FUGA"
509,"M",568939,55,"UNV","SOL",132,99,"SANTIAGO",0,19885,0,299729,8,0,121,1,2100000,"SI","NO FUGA"
510,"M",32165,40,"UNV","CAS",51,88,"SANTIAGO",0,185396,0,0,597,28049,0,2,6300000,"SI","FUGA"
511,"M",515859,46,"UNV","CAS",129,105,"SANTIAGO",0,22071,0,134208,539,4379,378,2,3000000,"NO","FUGA"
512,"F",35640,53,"TEC","SOL",105,42,"LOS VILOS",0,460933,0,388754,289,0,5197,1,8000000,"SI","NO FUGA"
513,"M",174475,40,"UNV","CAS",151,226,"CONCEPCION",0,51076,0,0,0,1207,0,1,2100000,"NO","NO FUGA"
514,"M",515082,44,"MED","CAS",10,5,"IQUIQUE",0,75333,0,0,13,0,0,1,1800000,"NO","NO FUGA"
515,"M",264080,44,"TEC","CAS",91,279,"PANGUIPULLI",0,303706,0,1393467,86,0,913,1,4700000,"NO","NO FUGA"
516,"M",7385,50,"MED","CAS",55,90,"SANTIAGO",0,357787,962213,0,0,0,800,1,2100000,"NO","FUGA"
517,"F",189240,30,"UNV","SOL",74,91,"SANTIAGO",0,5760,0,0,85,0,0,1,2500000,"NO","NO FUGA"
518,"F",342751,36,"MED","CAS",101,87,"SANTIAGO",0,806562,0,0,441,0,79,1,1500000,"NO","NO FUGA"
519,"M",217599,40,"MED","CAS",41,119,"SANTIAGO",0,129019,0,178143,213,0,8,1,3500000,"NO","NO FUGA"
520,"M",469171,45,"UNV","SOL",31,119,"SANTIAGO",0,4534,0,283496,417,0,4,2,3400000,"NO","FUGA"
521,"F",114750,54,"TEC","CAS",84,88,"SANTIAGO",0,548739,0,0,0,27523,2353,0,8000000,"NO","NO FUGA"
522,"M",1206011,48,"UNV","SOL",138,1,"ARICA",730842,374857,0,0,978,41936,0,1,7500000,"NO","FUGA"
523,"M",364274,28,"UNV","SOL",52,80,"SANTIAGO",0,174603,0,0,45,0,12,1,1700000,"NO","FUGA"
524,"F",250440,51,"TEC","SEP",69,53,"SAN FELIPE",0,243283,0,0,762,0,0,1,1900000,"NO","NO FUGA"
525,"F",2014551,59,"MED","CAS",60,291,"PUERTO MONTT",0,38624,0,1901318,4420,0,23549,1,8000000,"NO","NO FUGA"
526,"F",45005,41,"TEC","SOL",120,80,"SANTIAGO",0,100229,0,0,0,6092,0,0,3500000,"SI","NO FUGA"
527,"F",425557,48,"TEC","SOL",21,502,"CHUQUICAMATA",0,0,0,23163,0,0,97,0,2000000,"NO","NO FUGA"
528,"F",74327,42,"TEC","SOL",90,93,"SANTIAGO",0,698936,0,0,5,172,0,1,1500000,"SI","NO FUGA"
529,"M",417482,41,"TEC","CAS",126,110,"SANTIAGO",0,3580,0,0,0,0,2,1,2000000,"SI","FUGA"
530,"F",370218,50,"TEC","CAS",138,1,"ARICA",0,404051,0,0,684,0,393,2,1000000,"NO","FUGA"
531,"M",262979,53,"TEC","SOL",27,226,"CONCEPCION",0,66479,0,0,127,0,0,1,1900000,"NO","FUGA"
532,"M",312016,37,"MED","CAS",15,67,"VINA DEL MAR",0,51740,0,0,1,0,0,1,2500000,"NO","NO FUGA"
533,"F",621931,55,"TEC","CAS",40,67,"VINA DEL MAR",0,1038482,0,0,85,0,0,1,5300000,"NO","NO FUGA"
534,"F",263823,29,"TEC","CAS",74,253,"TEMUCO",0,8394,0,27993,38,0,70,1,1700000,"NO","NO FUGA"
535,"F",47665,50,"TEC","SOL",108,100,"SANTIAGO",0,116071,0,0,188,0,0,1,1600000,"SI","NO FUGA"
536,"M",3718826,43,"UNV","CAS",55,90,"SANTIAGO",0,35824,0,122685,9,0,107,1,8000000,"NO","FUGA"
537,"M",22526,55,"MED","CAS",31,119,"SANTIAGO",0,150628,0,3638,804,0,10,2,6600000,"NO","FUGA"
538,"F",3585,48,"TEC","SOL",22,93,"SANTIAGO",0,0,0,398262,76,24381,22,1,5400000,"SI","NO FUGA"
539,"M",769781,39,"TEC","CAS",42,31,"COQUIMBO",1412458,139729,0,129525,1570,6721,218,1,1700000,"SI","NO FUGA"
540,"M",345301,45,"MED","CAS",54,93,"SANTIAGO",0,672472,0,0,1992,0,2172,1,4000000,"NO","FUGA"
541,"M",1993460,32,"TEC","CAS",90,80,"SANTIAGO",0,696558,0,46054,0,0,17890,0,8000000,"NO","NO FUGA"
542,"F",23305,36,"MED","SOL",90,89,"SANTIAGO",0,174366,0,0,64,0,0,1,3300000,"SI","NO FUGA"
543,"M",1487137,36,"TEC","CAS",84,88,"SANTIAGO",0,822267,0,111762,0,24005,761,0,8000000,"NO","NO FUGA"
544,"M",478475,44,"UNV","CAS",31,119,"SANTIAGO",0,9981,168033,0,76,0,301,1,1800000,"SI","FUGA"
545,"M",945555,24,"TEC","CAS",116,131,"RANCAGUA",1631772,0,0,0,803,0,0,1,4200000,"NO","FUGA"
546,"M",2887008,43,"UNV","CAS",85,80,"SANTIAGO",0,820526,0,903,1388,0,28,1,900000,"NO","FUGA"
547,"M",411755,45,"UNV","CAS",31,119,"SANTIAGO",446486,30559,0,71352,402,0,283,3,1200000,"SI","FUGA"
548,"F",1640591,32,"MED","CAS",82,81,"SANTIAGO",0,161301,0,0,0,0,323,0,3800000,"NO","NO FUGA"
549,"F",1077214,53,"UNV","CAS",12,16,"ANTOFAGASTA",0,370513,0,292568,114,0,43,1,4400000,"NO","NO FUGA"
550,"F",369710,41,"TEC","SOL",27,226,"CONCEPCION",0,8649,0,86747,1378,0,640,2,1300000,"NO","FUGA"
551,"M",379914,43,"UNV","CAS",76,88,"SANTIAGO",0,59645,0,0,48,0,0,1,8000000,"NO","NO FUGA"
552,"M",298733,33,"MED","SOL",90,23,"CALDERA",0,114839,0,0,1,0,11049,1,3700000,"NO","NO FUGA"
553,"M",578214,28,"UNV","CAS",18,83,"SANTIAGO",0,399915,0,10812,240,0,2,1,1800000,"NO","FUGA"
554,"M",11514,40,"UNV","CAS",55,90,"SANTIAGO",0,8942,0,24490,42,0,135,1,2300000,"NO","FUGA"
555,"M",81900,50,"MED","CAS",55,90,"SANTIAGO",113880,204821,0,0,123,0,0,1,5200000,"NO","FUGA"
556,"M",438601,45,"UNV","CAS",39,84,"SANTIAGO",0,585,0,256805,548,0,287,2,1000000,"NO","FUGA"
557,"F",399749,30,"TEC","CAS",27,226,"CONCEPCION",0,2319,0,281429,819,0,50,2,900000,"NO","FUGA"
558,"F",62485,46,"TEC","SOL",32,115,"SANTIAGO",1595144,0,0,0,1725,0,0,1,1100000,"SI","NO FUGA"
559,"M",48297,45,"MED","CAS",55,90,"SANTIAGO",0,1039388,0,0,0,4116,0,1,8000000,"NO","FUGA"
560,"M",106316,33,"MED","CAS",27,226,"CONCEPCION",0,590492,0,306543,182,0,0,1,4500000,"NO","FUGA"
561,"M",721226,53,"UNV","CAS",130,99,"SANTIAGO",0,215611,0,4635,753,1008,0,2,3000000,"NO","FUGA"
562,"M",19148,45,"MED","CAS",41,93,"SANTIAGO",0,277545,0,0,6,0,0,1,3500000,"NO","FUGA"
563,"M",28515,28,"UNV","CAS",52,80,"SANTIAGO",0,156446,0,0,232,0,6,1,1700000,"NO","FUGA"
564,"F",34513,46,"UNV","SOL",140,88,"SANTIAGO",0,48789,0,0,1,0,0,1,2000000,"NO","FUGA"
565,"M",288872,41,"TEC","CAS",17,80,"SANTIAGO",0,316954,0,0,2,0,0,1,1700000,"NO","NO FUGA"
566,"F",122983,47,"MED","VIU",90,89,"SANTIAGO",110729,243065,0,3179,652,0,25,1,1600000,"SI","NO FUGA"
567,"M",2218873,46,"TEC","CAS",93,88,"SANTIAGO",0,1816347,0,0,0,5550,0,0,8000000,"NO","NO FUGA"
568,"M",133797,30,"TEC","SOL",56,131,"RANCAGUA",0,25907,0,0,611,6650,52,2,900000,"NO","NO FUGA"
569,"F",583304,32,"TEC","CAS",75,79,"STO DOMINGO",0,204173,0,0,0,0,0,0,4000000,"NO","NO FUGA"
570,"M",239149,27,"TEC","CAS",13,80,"SANTIAGO",0,0,0,0,933,0,76,2,1300000,"NO","NO FUGA"
571,"M",29673,42,"UNV","CAS",122,80,"SANTIAGO",0,59014,0,0,19,0,0,1,8000000,"NO","FUGA"
572,"F",32381,43,"TEC","SOL",66,253,"TEMUCO",56545,2893964,0,0,41,5215,11644,1,8000000,"SI","NO FUGA"
573,"M",92199,51,"TEC","CAS",127,97,"SANTIAGO",0,189510,0,177031,108,0,158,2,2200000,"NO","FUGA"
574,"F",1812290,32,"TEC","SOL",90,102,"SANTIAGO",0,165411,0,188958,1247,0,468,1,3200000,"NO","NO FUGA"
575,"M",228884,46,"UNV","CAS",35,106,"SANTIAGO",786299,5479,0,879431,3,0,10129,1,2100000,"NO","FUGA"
576,"M",71723,47,"UNV","CAS",55,90,"SANTIAGO",0,250538,0,92690,46,0,734,1,6100000,"NO","FUGA"
577,"F",4318257,39,"TEC","SOL",85,88,"SANTIAGO",0,222517,0,113059,2,0,0,1,4100000,"SI","NO FUGA"
578,"F",279116,50,"TEC","CAS",138,1,"ARICA",0,671075,1336139,0,0,9529,5253,1,700000,"NO","FUGA"
579,"F",1710702,46,"TEC","SEP",93,88,"SANTIAGO",0,4218388,0,0,0,6150,0,0,8000000,"NO","NO FUGA"
580,"F",479055,52,"TEC","CAS",27,226,"CONCEPCION",0,145949,0,290535,10,0,21,1,2100000,"NO","FUGA"
581,"F",138348,51,"TEC","CAS",138,1,"ARICA",11357,110159,0,1162,256,0,4,1,1100000,"NO","FUGA"
582,"M",313155,28,"TEC","SOL",59,88,"SANTIAGO",0,0,0,0,0,0,123,1,2200000,"NO","FUGA"
583,"F",581941,36,"TEC","SEP",48,85,"SANTIAGO",0,110516,0,0,0,6028,0,0,5800000,"NO","NO FUGA"
584,"M",3976014,115,"UNV","CAS",55,90,"SANTIAGO",0,0,0,0,148,0,0,1,1800000,"NO","FUGA"
585,"M",321097,48,"MED","CAS",138,1,"ARICA",0,34822,0,112983,254,0,205,1,3500000,"NO","FUGA"
586,"F",385361,36,"MED","CAS",16,93,"SANTIAGO",0,53727,0,0,0,0,12,0,1600000,"NO","NO FUGA"
587,"M",4274214,40,"UNV","CAS",55,90,"SANTIAGO",124448,10667,0,0,748,0,0,2,3000000,"NO","FUGA"
588,"M",253722,47,"MED","CAS",19,92,"SANTIAGO",0,15852,0,1432144,642,0,12272,3,5100000,"NO","FUGA"
589,"F",760472,42,"UNV","CAS",138,1,"ARICA",757496,512271,0,837129,3104,0,5415,2,5600000,"SI","FUGA"
590,"M",48599,50,"UNV","SOL",31,120,"SANTIAGO",77513,54420,0,10201,84,0,24,1,1500000,"SI","FUGA"
591,"F",6232466,37,"TEC","VIU",84,115,"SANTIAGO",0,345131,0,72745,116,0,14,1,600000,"NO","NO FUGA"
592,"M",349114,49,"UNV","CAS",138,1,"ARICA",0,862560,0,0,2,0,0,1,4600000,"NO","FUGA"
593,"F",352445,33,"TEC","CAS",71,326,"PUNTA ARENAS",0,0,0,0,1212,0,0,2,2400000,"NO","NO FUGA"
594,"M",81139,37,"TEC","CAS",90,89,"SANTIAGO",188295,19077,0,1720,176,0,504,1,1100000,"NO","NO FUGA"
595,"F",198171,38,"MED","CAS",85,91,"SANTIAGO",0,43098,0,82818,308,8162,6739,1,8000000,"NO","NO FUGA"
596,"F",871,26,"UNV","SOL",90,91,"SANTIAGO",0,53963,0,0,0,14271,39,0,1700000,"NO","NO FUGA"
597,"M",2801104,49,"MED","CAS",138,1,"ARICA",0,0,0,973031,101,0,135891,1,8000000,"NO","FUGA"
598,"M",530544,28,"TEC","CAS",48,98,"SANTIAGO",76399,142375,0,222359,818,0,94,1,2700000,"SI","FUGA"
599,"F",216672,44,"TEC","CAS",50,88,"SANTIAGO",0,980096,0,221091,476,42919,48408,3,8000000,"NO","NO FUGA"
600,"F",2190953,53,"TEC","CAS",85,88,"SANTIAGO",0,2196116,0,0,71,0,32,1,8000000,"NO","NO FUGA"
601,"M",591027,47,"UNV","CAS",138,1,"ARICA",0,0,287429,0,0,861,1734,1,5500000,"NO","FUGA"
602,"M",32300,51,"UNV","SEP",55,90,"SANTIAGO",0,360593,0,0,81,0,1515,1,3500000,"NO","FUGA"
603,"F",114591,43,"MED","CAS",48,88,"SANTIAGO",0,0,0,2,164,0,47,1,1900000,"NO","NO FUGA"
604,"M",673932,34,"UNV","CAS",25,93,"SANTIAGO",0,689459,0,0,4,0,0,1,8000000,"NO","NO FUGA"
605,"M",577982,41,"UNV","CAS",23,173,"TALCA",0,53865,0,0,19,0,8291,1,2400000,"NO","NO FUGA"
606,"F",91081,63,"MED","CAS",95,316,"AYSEN",0,65598,0,209809,477,0,0,1,1100000,"NO","NO FUGA"
607,"M",953599,37,"MED","SEP",84,16,"ANTOFAGASTA",0,870685,0,0,2,0,0,1,5300000,"NO","NO FUGA"
608,"F",417221,49,"TEC","SEP",59,88,"SANTIAGO",0,333519,0,0,0,0,7632,0,1400000,"NO","NO FUGA"
609,"F",740089,31,"UNV","SOL",44,173,"TALCA",0,32744,0,63912,319,0,375,1,4400000,"NO","FUGA"
610,"M",1633940,42,"UNV","CAS",82,90,"SANTIAGO",0,473485,0,0,1,7549,130,1,8000000,"NO","FUGA"
611,"F",7102,44,"MED","SOL",23,234,"CORONEL",0,259323,0,76520,0,0,81,0,4200000,"SI","NO FUGA"
612,"F",4546648,32,"TEC","SOL",12,13,"CALAMA",0,0,0,0,151,0,126,1,1800000,"NO","NO FUGA"
613,"F",351631,51,"TEC","SEP",53,93,"SANTIAGO",0,15587,0,0,2,0,0,2,1700000,"NO","NO FUGA"
614,"M",171079,38,"TEC","CAS",14,22,"COPIAPO",0,0,0,74170,0,0,396,0,4000000,"SI","NO FUGA"
615,"M",454358,38,"TEC","SOL",90,89,"SANTIAGO",0,348176,0,0,0,27820,0,0,1500000,"NO","NO FUGA"
616,"M",311217,34,"MED","SOL",19,93,"SANTIAGO",158080,211943,0,303893,219,0,79,3,1300000,"NO","NO FUGA"
617,"M",68297,35,"TEC","CAS",39,84,"SANTIAGO",0,68187,0,0,48,0,0,1,2300000,"NO","NO FUGA"
618,"F",97609,49,"UNV","CAS",27,226,"CONCEPCION",0,46302,0,174988,107,0,158,1,1900000,"NO","FUGA"
619,"M",103820,50,"TEC","CAS",108,118,"SANTIAGO",0,124742,0,0,27,87,0,1,3700000,"NO","NO FUGA"
620,"F",24558,47,"TEC","VIU",13,16,"ANTOFAGASTA",0,225860,0,0,46,3487,507,1,3500000,"SI","NO FUGA"
621,"F",254785,29,"TEC","CAS",74,253,"TEMUCO",0,8777,0,49651,71,0,105,1,1700000,"NO","NO FUGA"
622,"M",1162851,44,"UNV","CAS",52,105,"SANTIAGO",0,245039,0,64761,0,343,195,1,1200000,"NO","FUGA"
623,"M",675681,47,"UNV","SOL",18,118,"SANTIAGO",0,27421,0,151715,751,0,0,2,3700000,"NO","FUGA"
624,"M",179314,55,"UNV","CAS",31,119,"SANTIAGO",0,480411,0,0,32,0,0,1,3000000,"NO","FUGA"
625,"M",125583,41,"MED","SEP",122,504,"EL SALVADOR",0,0,0,0,73,0,0,1,2400000,"NO","NO FUGA"
626,"M",514834,30,"TEC","SOL",100,70,"QUILPUE",0,0,0,68047,23,0,36,2,2300000,"NO","NO FUGA"
627,"M",1470902,39,"UNV","CAS",73,87,"SANTIAGO",0,797747,0,0,389,87778,18555,2,8000000,"NO","NO FUGA"
628,"M",343220,46,"TEC","CAS",31,119,"SANTIAGO",0,137706,0,330925,0,0,321,1,1700000,"NO","FUGA"
629,"M",1080822,37,"MED","CAS",48,29,"LA SERENA",0,44490,0,45761,0,24359,30,0,4800000,"NO","NO FUGA"
630,"M",602284,38,"UNV","CAS",17,105,"SANTIAGO",0,2320,0,0,1,2568,0,1,3900000,"NO","NO FUGA"
631,"M",296109,39,"UNV","CAS",61,284,"OSORNO",0,0,0,0,8,0,52,1,2000000,"NO","NO FUGA"
632,"M",182358,50,"UNV","SOL",108,80,"SANTIAGO",0,108957,0,545220,4355,0,1491,2,900000,"NO","FUGA"
633,"F",452316,32,"TEC","SOL",39,105,"SANTIAGO",0,77274,0,254911,775,19257,410,2,1200000,"NO","NO FUGA"
634,"F",534021,51,"MED","CAS",92,92,"SANTIAGO",0,15291,0,56706,358,0,228,1,2000000,"NO","FUGA"
635,"M",561577,47,"UNV","CAS",138,1,"ARICA",0,108599,0,1145,0,0,1,1,2400000,"NO","FUGA"
636,"F",47097,37,"MED","SOL",35,89,"SANTIAGO",0,257449,0,0,3,0,188,1,1600000,"SI","NO FUGA"
637,"F",409274,34,"UNV","CAS",62,292,"PUERTO VARAS",0,62032,0,0,780,0,0,1,2900000,"NO","NO FUGA"
638,"M",65383,47,"UNV","CAS",55,90,"SANTIAGO",0,521070,0,187429,1776,0,1335,3,750000,"NO","FUGA"
639,"M",10929,45,"UNV","CAS",55,90,"SANTIAGO",313328,1784095,0,999821,2196,0,22626,1,8000000,"NO","FUGA"
640,"M",780119,55,"TEC","CAS",90,93,"SANTIAGO",0,175065,0,0,76,2511,0,1,3600000,"NO","FUGA"
641,"M",293356,44,"UNV","CAS",90,5,"IQUIQUE",0,0,0,0,1,22392,0,1,2800000,"NO","NO FUGA"
642,"F",545092,54,"UNV","SOL",73,90,"SANTIAGO",0,104078,0,20931,108,0,0,1,3800000,"NO","FUGA"
643,"M",315589,54,"UNV","SOL",27,226,"CONCEPCION",0,74586,0,0,15,0,0,1,1600000,"NO","FUGA"
644,"F",466322,59,"MED","CAS",86,49,"LOS ANDES",735935,0,0,0,349,0,0,1,1600000,"NO","NO FUGA"
645,"M",551859,44,"MED","CAS",31,119,"SANTIAGO",1077677,15507,0,281913,1414,0,226,1,1400000,"SI","FUGA"
646,"F",8208047,37,"TEC","SOL",104,80,"SANTIAGO",0,468248,0,0,0,0,122,0,1300000,"NO","NO FUGA"
647,"M",481105,41,"TEC","SOL",87,59,"QUILLOTA",0,635229,0,310295,0,0,3,0,2200000,"NO","NO FUGA"
648,"F",253793,49,"TEC","CAS",12,13,"CALAMA",0,4120,0,0,286,0,0,1,1300000,"NO","NO FUGA"
649,"M",42292,40,"UNV","SOL",43,70,"QUILPUE",0,182905,0,85644,220,0,1950,1,2400000,"SI","NO FUGA"
650,"M",430043,40,"TEC","CAS",46,29,"LA SERENA",0,345206,0,0,34,0,0,2,1700000,"NO","NO FUGA"
651,"M",251356,52,"UNV","CAS",10,5,"IQUIQUE",0,292956,0,0,11,7028,0,1,2300000,"NO","NO FUGA"
652,"F",903611,27,"TEC","SOL",28,90,"SANTIAGO",0,1094088,0,0,41,0,0,1,4400000,"NO","NO FUGA"
653,"F",3056629,36,"TEC","SOL",84,88,"SANTIAGO",0,100442,0,0,1234,0,0,1,3100000,"NO","NO FUGA"
654,"F",4804116,44,"UNV","CAS",102,90,"SANTIAGO",731599,0,0,88760,261,8629,6,1,3200000,"NO","FUGA"
655,"M",360509,53,"MED","VIU",122,89,"SANTIAGO",0,23108,0,1059056,236,31088,1712,2,2100000,"NO","FUGA"
656,"F",442128,28,"UNV","CAS",44,173,"TALCA",0,2014953,0,0,8,0,0,1,2400000,"NO","NO FUGA"
657,"M",48660,50,"UNV","CAS",31,119,"SANTIAGO",0,407638,0,0,890,0,0,2,2300000,"NO","FUGA"
658,"F",135840,45,"UNV","CAS",16,89,"SANTIAGO",0,108250,0,0,0,0,98,1,3500000,"SI","FUGA"
659,"M",659449,47,"UNV","CAS",138,1,"ARICA",1181636,8828,0,29247,2065,0,79,1,1800000,"NO","FUGA"
660,"F",59943,49,"MED","SOL",49,84,"SANTIAGO",0,35942,5571313,1723238,0,0,3062,0,4000000,"SI","NO FUGA"
661,"M",17602,50,"MED","CAS",85,88,"SANTIAGO",1255140,454098,0,0,1604,0,0,2,8000000,"NO","FUGA"
662,"F",548999,30,"TEC","SOL",90,88,"SANTIAGO",0,0,0,0,41,4656,281,1,5500000,"NO","NO FUGA"
663,"F",152380,33,"TEC","CAS",60,291,"PUERTO MONTT",0,73081,0,0,803,0,367,1,900000,"NO","NO FUGA"
664,"F",35604,54,"MED","SOL",90,87,"SANTIAGO",0,109057,0,0,0,0,1297,0,8000000,"SI","NO FUGA"
665,"M",337822,29,"UNV","SOL",101,87,"SANTIAGO",0,1207594,0,5680,0,10933,0,1,2600000,"NO","FUGA"
666,"M",732940,54,"TEC","CAS",27,226,"CONCEPCION",0,492820,0,0,0,1088,0,1,3500000,"SI","FUGA"
667,"F",877998,54,"TEC","CAS",27,226,"CONCEPCION",0,1069903,0,8241,475,27270,23157,1,5500000,"NO","NO FUGA"
668,"F",14565,49,"TEC","SOL",15,88,"SANTIAGO",0,0,0,0,562,0,1870,1,8000000,"SI","NO FUGA"
669,"M",24181,51,"UNV","VIU",55,90,"SANTIAGO",2641613,1245418,10976183,265503,3005,26898,8358,2,7100000,"NO","FUGA"
670,"M",24885,49,"MED","CAS",55,90,"SANTIAGO",1216244,1135491,0,0,364,1278,1726,1,2300000,"NO","FUGA"
671,"F",338401,51,"TEC","CAS",78,182,"LINARES",0,131600,0,0,0,0,3784,0,3800000,"NO","NO FUGA"
672,"M",1283867,40,"UNV","SEP",128,88,"SANTIAGO",0,293181,0,0,36,0,0,2,8000000,"NO","NO FUGA"
673,"M",207850,43,"TEC","SOL",67,193,"CHILLAN",0,727134,0,0,0,0,17403,0,5600000,"NO","NO FUGA"
674,"M",21495,40,"UNV","CAS",52,89,"SANTIAGO",0,933,0,363526,594,0,128,2,1300000,"NO","FUGA"
675,"F",3321995,36,"TEC","VIU",69,89,"SANTIAGO",1104460,100894,0,0,589,0,0,1,1500000,"NO","NO FUGA"
676,"F",1170936,35,"TEC","VIU",90,99,"SANTIAGO",0,341237,0,0,217,0,0,1,8000000,"NO","NO FUGA"
677,"M",1594955,42,"MED","CAS",49,106,"SANTIAGO",0,0,0,121502,485,3710,3578,1,3300000,"NO","FUGA"
678,"M",414074,44,"UNV","CAS",10,5,"IQUIQUE",0,216707,0,0,11,0,0,1,1800000,"NO","NO FUGA"
679,"M",951209,48,"MED","SEP",117,88,"SANTIAGO",0,179708,0,0,3015,0,110,2,500000,"SI","FUGA"
680,"M",437275,31,"TEC","SOL",92,93,"SANTIAGO",658892,5646,0,405260,597,0,411,1,900000,"SI","FUGA"
681,"M",78491,54,"TEC","CAS",25,106,"SANTIAGO",0,337814,0,510087,667,0,119,1,1000000,"NO","FUGA"
682,"F",5588459,39,"TEC","VIU",31,119,"SANTIAGO",0,288192,0,54502,2080,0,205,1,2700000,"NO","NO FUGA"
683,"M",55306,52,"UNV","CAS",49,104,"SANTIAGO",0,788,0,419487,2414,0,1068,3,1900000,"NO","FUGA"
684,"F",370159,35,"TEC","VIU",27,126,"SAN PEDRO",0,463815,11870618,465189,1934,11886,11312,1,4400000,"NO","NO FUGA"
685,"M",605690,54,"MED","CAS",25,90,"SANTIAGO",0,253935,0,89453,0,7867,14,1,5200000,"NO","FUGA"
686,"M",57000,44,"UNV","CAS",90,93,"SANTIAGO",9088,47141,0,182323,1978,0,493,3,1400000,"NO","FUGA"
687,"F",192875,55,"MED","SOL",122,85,"SANTIAGO",0,0,0,0,81,0,194,1,6500000,"SI","NO FUGA"
688,"F",42202,54,"MED","CAS",59,90,"SANTIAGO",0,836628,0,0,14,2813,0,1,8000000,"NO","NO FUGA"
689,"M",3485500,41,"UNV","CAS",55,90,"SANTIAGO",12534,158489,0,395551,516,0,196,1,2000000,"NO","FUGA"
690,"M",1017402,47,"UNV","CAS",138,1,"ARICA",0,392116,632720,0,0,0,0,1,5200000,"NO","FUGA"
691,"M",221041,30,"TEC","SOL",90,226,"CONCEPCION",0,3703,0,0,37,0,0,1,2000000,"NO","NO FUGA"
692,"F",364106,55,"UNV","CAS",27,226,"CONCEPCION",0,1167,0,267951,116,0,99,1,2000000,"NO","FUGA"
693,"M",350730,45,"UNV","CAS",90,80,"SANTIAGO",0,93802,0,0,373,5266,2,1,1900000,"NO","NO FUGA"
694,"M",270899,42,"TEC","CAS",27,226,"CONCEPCION",2853553,352220,0,0,3100,0,1076,1,7000000,"NO","FUGA"
695,"M",643976,43,"MED","CAS",47,67,"VINA DEL MAR",0,482343,0,0,71,0,9,2,3700000,"SI","NO FUGA"
696,"F",89381,50,"TEC","CAS",54,89,"SANTIAGO",0,10098,0,0,2149,0,742,3,1900000,"NO","NO FUGA"
697,"F",155679,48,"MED","CAS",21,502,"CHUQUICAMATA",0,0,0,39947,0,0,15,0,2000000,"NO","NO FUGA"
698,"M",945731,42,"TEC","CAS",45,89,"SANTIAGO",0,208847,0,0,743,23911,129,1,5800000,"NO","FUGA"
699,"F",6114405,31,"TEC","SOL",79,148,"SAN FERNANDO",0,0,0,0,0,733,83,0,2900000,"SI","NO FUGA"
700,"F",730652,41,"MED","SOL",102,90,"SANTIAGO",0,93684,0,888793,269,0,127,1,3200000,"SI","NO FUGA"
701,"F",693081,44,"TEC","CAS",90,5,"IQUIQUE",0,0,0,0,4,17081,0,1,2800000,"NO","NO FUGA"
702,"M",429894,46,"MED","SOL",138,1,"ARICA",763874,5212,0,241828,247,0,194,1,500000,"SI","FUGA"
703,"F",38019,43,"MED","SOL",11,11,"TOCOPILLA",0,98699,0,0,0,0,2262,0,6100000,"SI","NO FUGA"
704,"F",859951,45,"UNV","CAS",24,85,"SANTIAGO",657794,698,0,162006,437,0,286,2,3100000,"SI","FUGA"
705,"M",4150,45,"UNV","CAS",54,80,"SANTIAGO",0,59253,0,0,486,5222,0,1,3800000,"NO","FUGA"
706,"F",1058275,39,"TEC","CAS",48,89,"SANTIAGO",0,953023,0,0,0,21056,0,0,4000000,"NO","NO FUGA"
707,"M",652605,28,"UNV","SOL",66,253,"TEMUCO",0,530671,0,254228,0,0,146,0,3200000,"NO","NO FUGA"
708,"M",646229,54,"TEC","CAS",27,226,"CONCEPCION",0,608452,0,0,0,26381,21,1,3100000,"NO","FUGA"
709,"M",713424,43,"MED","CAS",82,85,"SANTIAGO",393553,22484,0,67233,182,0,71,1,8000000,"SI","FUGA"
710,"M",481288,39,"TEC","CAS",57,93,"SANTIAGO",0,206523,0,599593,203,0,625,1,1500000,"NO","NO FUGA"
711,"F",455464,54,"UNV","VIU",16,89,"SANTIAGO",0,545721,0,0,17,0,0,1,1300000,"SI","NO FUGA"
712,"M",36948,49,"UNV","CAS",49,90,"SANTIAGO",105279,1356,0,510823,1400,0,402,1,1700000,"SI","FUGA"
713,"M",237944,29,NA,"CAS",76,104,"SANTIAGO",45468,30231,0,580777,557,0,456,1,2900000,"NO","NO FUGA"
714,"F",1983371,31,"MED","SOL",48,82,"SANTIAGO",0,71136,0,0,1,0,0,1,1900000,"NO","NO FUGA"
715,"M",6420819,43,"UNV","CAS",17,118,"SANTIAGO",0,158540,0,535503,0,0,125,1,2400000,"NO","FUGA"
716,"M",4087490,45,"UNV","CAS",31,119,"SANTIAGO",0,274655,0,66389,0,0,126,1,3300000,"NO","FUGA"
717,"F",2315744,30,"MED","VIU",76,80,"SANTIAGO",0,19178,0,65512,14,0,19,1,1900000,"NO","NO FUGA"
718,"M",1091996,37,"UNV","SOL",14,22,"COPIAPO",1267283,1120628,0,0,439,27303,13,1,4500000,"NO","NO FUGA"
719,"F",6258526,36,"TEC","VIU",96,88,"SANTIAGO",0,291716,0,0,2366,0,116,1,4400000,"NO","NO FUGA"
720,"M",15595,40,"MED","CAS",41,119,"SANTIAGO",0,93979,0,59006,176,0,53,1,3500000,"NO","NO FUGA"
